PROPERTY TYPE,ADDRESS,CITY,STATE,ZIPCODE,PRICE,BEDS,BATHS,LOCATION,SQFT,LOTSIZE,YEARBUILT,DAYSONMARKET,PPSQFT,HOA,LATITUDE,LONGITUDE
Single Family Residential,6010 SW Orleans St,Seattle,WA,98116,1395000,3,2.5,Alki,2840,5750,2006,1,491,,47.57115,-122.4101686
Single Family Residential,11210 81st Ave S,Seattle,WA,98178,450000,3,1.75,Bryn Mawr,1700,6955,1956,12,265,,47.5023434,-122.2306363
Single Family Residential,9516 Densmore Ave N,Seattle,WA,98103,975000,3,2.75,Licton Springs,2220,5000,1924,14,439,,47.6983269,-122.337338
Single Family Residential,3257 25th Ave W,Seattle,WA,98199,1049000,3,2.5,Magnolia,2360,4320,1990,20,444,,47.6501654,-122.3889038
Single Family Residential,4616 47th Ave S,Seattle,WA,98118,820000,3,2.5,Seward Park,1710,3590,1988,23,480,,47.5611832,-122.2742249
Single Family Residential,2640 NW 57th St Unit B,Seattle,WA,98107,785000,2,2.25,Ballard,1460,1425,2013,26,538,,47.670417,-122.391949
Single Family Residential,614 N 65th St,Seattle,WA,98103,899000,3,1,Phinney Ridge,2040,7440,1916,27,441,,47.676319,-122.350705
Single Family Residential,3810 22nd Ave SW,Seattle,WA,98106,844000,3,2,Pigeon Point,1910,1597,2017,1,442,,47.569677,-122.360741
Single Family Residential,4218 W Dravus St,Seattle,WA,98199,1195000,3,1.75,Magnolia,2130,4350,1938,1,561,,47.6488413,-122.4116743
Single Family Residential,9829 42nd Ave SW,Seattle,WA,98136,649997,3,2.5,Arbor Heights,1750,8060,1934,1,371,,47.5147831,-122.3863005
Single Family Residential,8120 9th Ave SW,Seattle,WA,98106,549950,3,1,Highland Park,1120,7320,1922,1,491,,47.5294622,-122.3464816
Single Family Residential,6705 Flora Ave S,Seattle,WA,98108,690000,3,1,Georgetown,1350,4000,1903,1,511,,47.5420768,-122.3209303
Single Family Residential,3022 42nd Ave W,Seattle,WA,98199,1188000,3,2,Magnolia,2367,5800,1941,1,502,,47.6475091,-122.4104666
Single Family Residential,621 NW 44th St,Seattle,WA,98107,825000,3,1,Fremont,2830,3376,1911,1,292,,47.6606258,-122.3650032
Single Family Residential,627 NW 44th St,Seattle,WA,98107,700000,2,1,Fremont,1820,3376,1916,1,385,,47.6606304,-122.3651889
Single Family Residential,1910 SW 112th St,Seattle,WA,98146,425000,3,1,Shorewood,1040,8010,1955,1,409,,47.502981,-122.3596578
Single Family Residential,12218 North Park Ave N,Seattle,WA,98133,425000,2,1,Bitter Lake,700,6290,1925,1,607,,47.7183319,-122.3492277
Single Family Residential,4883 24th Ave S,Seattle,WA,98108,568000,2,1,Beacon Hill,940,4800,1920,1,604,,47.5587611,-122.3031164
Single Family Residential,7712 10th Ave NW,Seattle,WA,98117,874950,3,1.75,Whittier,2087,5000,1928,1,419,,47.6855068,-122.369026
Single Family Residential,2801 NE 140th St,Seattle,WA,98125,500000,3,2,Olympic Hills,1010,7776,1977,1,495,,47.7299005,-122.2975742
Single Family Residential,9336 Waters Ave S,Seattle,WA,98118,600000,3,1.75,Rainier Beach,1940,4324,1927,1,309,,47.5182521,-122.2597974
Single Family Residential,7959 Seward Park Ave S,Seattle,WA,98118,599000,2,1,Seward Park,2520,4840,1922,1,238,,47.5299753,-122.2666734
Single Family Residential,625 NW 83rd St,Seattle,WA,98117,849950,3,2.5,Crown Hill,1600,2880,1987,1,531,,47.6889172,-122.3645036
Single Family Residential,3745 SW 98th St,Seattle,WA,98126,565000,3,1.5,Arbor Heights,1250,5224,1996,1,452,,47.5153866,-122.3813118
